I53US, 64.875, -147.86114
I55H2, -77.73754, 167.62806
I55H4, -77.74784, 167.56419
I55H6, -77.73952, 167.58786
I55H8, -77.74092, 167.58419
I55US, -77.73149, 167.58742
I56H1, 48.26408, -117.12567
I56H2, 48.27274, -117.1343
I56H3, 48.26888, -117.10939
I56H4, 48.25487, -117.13106
I56US, 48.26408, -117.12567
I57H2, 33.60679, -116.45342
I57H4, 33.60548, -116.4546
I57L2, 33.61124, -116.4575
I57L4, 33.59884, -116.45939
I59H1, 19.59153, -155.8936
I59H2, 19.60096, -155.89527
I59H3, 19.59106, -155.88175
I59H4, 19.58554, -155.8988
I59US, 19.59153, -155.8936
I03H2, -68.58657, 78.07204
I03H4, -68.58751, 78.06233
I03H6, -68.59271, 78.07275
I03AU, 19.29178, 166.61126
I20H1, -0.59969, -90.37987
I20H3, -0.60268, -90.37854
I20H5, -0.59444, -90.37855
I20H7, -0.6094, -90.38403
I37H1, 69.07578, 18.60875
I37H3, 69.07302, 18.60291
I37H5, 69.08214, 18.61454
I37H7, 69.06884, 18.61398
I37H9, 69.07709, 18.59219
I40H2, -4.3011, 52.0247
I40H4, -4.3028, 52.0225
I40H6, -4.2917, 52.0277
I40H8, -4.299, 52.0117
I46H2, 53.96105, 84.8164
I46H4, 53.93748, 84.79958
I58H2, 28.2133, 177.3696
I58H4, 28.2029, 177.3844
I60H2, 19.31328, 166.62338
I60H4, 19.30433, 166.63876
I60H6, 19.30879, 166.62615
I60H8, 19.30573, 166.62459
